"data__story","data__message","data__updated_time","data__id","paging__previous","paging__next"
"","סאבלט!! בק. קרקע, דירת סטודיו משופצת ברמה גבוהה עם מקלחת מרווחת ומפנקת+ מ. כביסה.. 45 מ""ר. בין התאריכים, 1.3 עד 15.4 או עד סוף חודש אפריל. מרוהטת קומפלט, רק לבוא עם בגדים.. אגב, ציוץ ציפורים מובטח כל בוקר.. ואל תשכחו להאכיל את הדגים! ;) שד' חכמי ישראל, דרום העיר, ת""א.  פרטים בפרטי...  לרציניים בלבד!","2015-02-18T18:39:15+0000","707688259256219_949573221734387","https://graph.facebook.com/v2.4/707688259256219/feed?limit=1000&format=json&__paging_token=enc_AdCskSAfzWAL4g3oVTz5ZAK7sAhcUAl9u6hqS55eYaZAXORmNZBk7IAIEngZARiqZBxr04bDA6VPdcFyaFrF7MQQD1MmS8ljuZA1RnmLZB1YuLoMnXrIAZDZD&since=1424284755&access_token=CAACEdEose0cBAHFTnXdZAvd7RtEomhXVVYGrkIJuHms70bEovtxrO0bBk2PWP0PHhERoiKVG2S7ZCYayGIt6ULeJZCFMhHT4m1xTqCC5XDd1d2z2alIUxw6A5ZBf8Ss0FEx6llS3TAtyVpk4f91043aohdeXNRqxf9o8t5y75ZBHkEDXYYdSXH77Lp9JskakRXZAnhatUX0AZDZD&__previous=1","https://graph.facebook.com/v2.4/707688259256219/feed?limit=1000&format=json&__paging_token=enc_AdB7vICVKzMarpOZC7uBXAQMhnZB1Ix4GRCMZClZADBGcbeGdtSeXFn690pNZCvvYmE5QY5xPCIl3tP8odZBB4UZCoxn2dB4NMKy9mxB1DBpA82LJi2PQZDZD&access_token=CAACEdEose0cBAHFTnXdZAvd7RtEomhXVVYGrkIJuHms70bEovtxrO0bBk2PWP0PHhERoiKVG2S7ZCYayGIt6ULeJZCFMhHT4m1xTqCC5XDd1d2z2alIUxw6A5ZBf8Ss0FEx6llS3TAtyVpk4f91043aohdeXNRqxf9o8t5y75ZBHkEDXYYdSXH77Lp9JskakRXZAnhatUX0AZDZD&until=1413224980"
"","סבלט ל-4 חודשים עקב טיסה . בן יהודה 200 דירת 2 שותפים שכר דירה 2700  החל מה-22/3 . החדר גדול עם מקלחת שירותים ומרפסת ענקית .  הדירה מאובזרת  ברמה סופית . מראה היום מ-17:30 עד 18:30  לעוד שאלות בפרטי .  סיום הסבלט לכיוון .","2015-02-18T14:12:54+0000","707688259256219_950099955015047","",""
"","להשכרה יחידת דיור בלב רוטשילד עבור בנות בלבד! מתפנה לחודשיים חדר מקסים ומרווח הכולל מטבחון פרטי, חדר אמבטיה קטן ושפע של פרטיות. בדירה גרות עוד 3 בנות מאוד נחמדות. הכניסה מחולקת. החצר הקדמית שומר על שקט - ברים, מסעדות ומועדונים במרחק של הליכה. ""2600₪ +120₪ עלויות נוספות (ועוד בית + אינטרנט)  call 0544400767  SUBLET on Rothschild for girls only! Becomes available for two months. Lovely spacious room includes a private kitchen, small bathroom and lots of privacy. 3 very nice and quite girls living in the apartment as well. The entrance is divided. Front garden keeps the area quiet - bars, restaurants and clubs within a walking distance. ""₪ 2,600 + ₪ 120 additional costs. For more infos call 0544400767","2015-02-18T09:39:01+0000","707688259256219_949757621715947","",""
"","היי מחפשת סבלט לתקופת פסח מה-30.3 ועד 11.4. לזוג עם ילדה בת 15 כלומר צריכים מיטה גדולה ומיטה נוספת. בלב תל אביב, כמה דקות מהים. אם מישהו שומע או מכיר, אשמח לשמוע. תודה","2015-02-18T07:54:22+0000","707688259256219_949575321734177","",""
"","","2015-02-17T18:50:39+0000","707688259256219_949727028385673","",""
"","סאבלט לדירת היוקרה במגדל דיזינגוף המהמם החל מה 22 לפברואר עד ה 1 לאפריל. דירת 2 חדרים בקומה 21 שממוקמת ממש במרכז תל אביב (מעל דיזנגוף סנטר) נוף עוצר נשימה בבניין חדיש ומסודר. וכל החשבונות כלולים (מים, חשמל, ארנונה, ועד בית, טלויזיה בכבלים ואינטרנט) במחיר 6500 שקל לחודש למעוניינים 0535296292  ""Sublett for a luxury apartment at stunning ""Dizengoff Tower from February 22nd to April 1st.  Two bedroom apartment on the 21st floor , located right in the center of Tel Aviv (above Dizengoff Center) with breathtaking views and 24 hours reception All bills included ( water, electricity , property taxes , and home , cable TV and Internet ) Just come with your little suitcase and enjoy Price 6500 per month For those interested 0535296292","2015-02-17T15:59:47+0000","707688259256219_949656718392704","",""
"","מסבלטת את חדרי מה 9.3 עד ה 29.3 (תאריכים גמישים). דירת שותפים (שותפה חמודה וחתול נחמד) בלב יפו ברחוב יהודה הימית- דקה משוק הפשפשים, אבו חסן ומתחם נגה. 5 דקות מהים והנמל. חדר גדול ומואר, סלון ומטבח מאובזרים, מרפסת ענקית. הדירה 75 מ""ר. 2000 ש""ח כולל חשבונות.  Sublet in the heart of Jaffa from March 9th til March 29th (flexible dates). Great location- near the flea market, the beach, the port and public transportation. Large room with terrace in a fully equipped apartment with one roommate (girl) and a cat. 2000 nis everything included.","2015-02-17T15:40:14+0000","707688259256219_949650261726683","",""
"","חברי פייסבוק יקרים אני זקוק לעזרתכם ! עדיין לא מצאתי סאבלט אני מחפש דירה מרוהטת (גם אם חלקית) עד סוף יוני אולי אפילו יולי כניסה מסוף פברואר\מרץ (1.3-31.6) ללא שותפים ועד 4000 לחודש תודה רבה","2015-02-17T12:46:52+0000","707688259256219_948503231841386","",""
"","Sublet in a brand new building!   מסבלטת חדר בדירת 3 חדרים. בנין ח-ד-ש בן 5+ מרפסת שמש, קומה 4, מעלית, חניה באיזור.  נשארת שותפה שהרוב טוענים שהיא דווקא בסדר (אני(; )  החדר מרוהט למעט ארון. 2,500 שח ללא הוצאות.  מה-28/2 לתקופה גמישה של  כחודש וחצי (אולי תהיה אופציה להאריך ).  בשכונת מונטיפיורי-מול מתחם שרונה/חמש דקות מעזריאלי.","2015-02-17T12:03:49+0000","707688259256219_949493068409069","",""
"","Sublet: Passover holiday... New 3 room apt in Kerem Hateimanim - 3 minute walk to the beach, 2 bedrooms (3 rooms), Sleeps: 5, 1st floor with elevator, 1 bathroom, Size 65 sqm, A/C, Fully furnished, Washing machine, Wi-Fi and Cable TV.  For more details: PM me or call 054-769-7099","2015-02-17T06:55:38+0000","707688259256219_949493551742354","",""
"","סאבלט -לתאריך 16 במרץ עד 8במאי . במרכז תל אביב,רחוב הירקון סמוך למלון שרטון ,קו ראשון לים  ונוף פתוח! בקומה שלישית בלי מעלית . מתפנה חדר גדול ומרוהט קומפלט+ אינטרנט והוט, פרקט, מרפסת שמש של 10 מטר לכיוון חוף גורדון הדירה משופצת ,נקייה והמטבח מאובזר.  דירת 3  חדרי שנה ללא סלון.  יש 2 שותפים בדירה מחיר 5000 לחודש. 0547366870","2015-02-17T06:37:13+0000","707688259256219_948513011840408","",""
"","מי בא לגלוש או לנפוש בפסח הקרוב?  מי רוצה דירה קטנה עם גינה ובריכה בקומפלקס מפנק בתמרינדו (קוסטה ריקה), דקה מהים, לשלושה שבועות באפריל תמורת דירה חמודה בתל אביב?","2015-02-17T02:32:57+0000","707688259256219_946971368661239","",""
"","Sublet in a brand new  building!   מסבלטת חדר בדירת 3 חדרים. בנין ח-ד-ש בן 5+ מרפסת שמש, קומה 4, מעלית, חניה באיזור.  נשארת שותפה שהרוב טוענים שהיא דווקא בסדר (אני(; )  החדר מרוהט למעט ארון. 2,500 שח ללא הוצאות.  מה-28/2 לתקופה גמישה עד חודש וחצי (אולי תהיה אופציה להאריך מעט).   בשכונת מונטיפיורי-מול מתחם שרונה/חמש דקות מעזריאלי.","2015-02-16T22:38:19+0000","707688259256219_949328278425548","",""
"","Hi   looking for an apt in TLV? .. Is this answer your wishfull thinking ?  I'm subletting my 2 bedroom apt for March. Very sweet,  beutiful kitchen, a bath , big windows. Close to Azrielli center ,Sarona area & only 3800 nis will you be intered ?","2015-02-16T22:00:23+0000","707688259256219_949313241760385","",""
"","","2015-02-15T23:03:41+0000","707688259256219_948717888486587","",""
"","מחפש סאבלט ליחיד (דירה, לא חדר) מעכשיו ועד 3 לאפריל (גמיש). תודה! נווה","2015-02-15T19:44:00+0000","707688259256219_948623111829398","",""
"","מחפשת למשפחה צעירה דירת 3 חדרים ל-9 לילות בפסח, 5-14 אפריל. חייב להיות מרוהטת ומשופצת עם מעלית ועדיפות לחנייה! תודה מראש!","2015-02-15T14:21:18+0000","707688259256219_948485248509851","",""
"","היי אני מחפשת דירה לשבועיים שלושה תחילת חודש יוני שני שלושה חדרים בתל אביב  ועוד דירה שני חדרים מיוני לחודשיים אבל, גם בתל אביב  בבקשה שלחו הודעה בפרטי אם יש לכם אן מכירים מישהו","2015-02-15T10:33:59+0000","707688259256219_947353428623033","",""
"","IPhone 5S 16GB, 32GB, 64GB השחור, זהב אפור,: - 300 $  בקר אלחוטי 3/4 15 משחקי 500 GB המסוף + חינם & 2 פלייסטיישן: - $ 200  IPhone 6 16GB, 64GB, אפור, זהב: - $ 420  IPhone 6 Plus 16GB.64GB. אפור, זהב,: - 480 $  חברת משלוח: פדקס, UPS, DHL. זמן אספקה: 2-3 ימים  קונים מעוניינים צריכים לפנות אלינו בהמשך לקבלת מידע נוסף  דוא""ל: - ahlfarano.company@mail.com  צ'אט סקייפ: - cluvishumov08  WhatsApp: - +2347012971578","2015-02-15T09:15:00+0000","707688259256219_948382115186831","",""
"Shlomit Ozeri shared her post to the group: ‎סבלט בתל אביב לתקופות קצרות‎.","","2015-02-15T06:16:00+0000","707688259256219_948332761858433","",""
"","הי, מסבלט את הדירה המקסימה שלי ברחוב עמנואל הרומי – ז'בוטינסקי, כניסה מיידית! עד אזור ה 20.3. דירת 2.5 חדרים מרווחת ומאובזרת – סלון, חדר שינה עם מיטה זוגית, מרפסת גדולה עם פינת אוכל, מטבח עם מקרר ותנור, מרפסת שירות עם מכונת כביסה, מקלחת ודוד שמש. מיקום מעולה בצפון הישן, אזור מתחם באזל, ליד אבן גבירול, כמה דקות מדיזינגוף והים. מחיר לכיסוי שכ""ד 4900 ש""ח לחודש.  Subletting my lovely apartment on Immanuel Ha’Romi – Jabotinsky Street, immediate entrence! until around 20.3. A spacious, fully equipped 2.5 room apartment - living room, bedroom with a double bed, large balcony with a dining table, kitchen with refrigerator and stove, utility room with a washing machine, shower etc. Great location, near Iben Gabirol St. and Dizingof st. 10 minutes walk from the beach. Price for rent 4900 NIS per month.","2015-02-15T00:35:37+0000","707688259256219_948192038539172","",""
"","Hi Guys!  Is someone interested to rent his flat from April 8 until April 18?  It's for a couple with a 3 years old child. They can pay 50 euros per night, so 500 euros for 10 days. They are looking for a flat with 2 bedrooms or a flat with only one bedroom and a living room where there is a foldout couch. Located in the center. For example : Kikar rabin, dizengof, ben yehuda, frishman, gordon, nordau, arlozorov...  If someone have an idea or is interested, it will help a lot! please contact me :)","2015-02-14T19:53:20+0000","707688259256219_948077351883974","",""
"","למי שצריך- סאבלט מראשון עד חמישי במרכז ת""א עם שתי שותפות חמודות!! מחיר סבבה (400), מיקום פצצה!","2015-02-14T18:58:17+0000","707688259256219_947333785291664","",""
"","https://www.facebook.com/photo.php?fbid=497933440356045&set=a.225454247603967.1073741824.100004181797580&type=1&theater","2015-02-14T17:47:39+0000","707688259256219_948034545221588","",""
"","היי חברים :-) מסבלטת את החדר המושלם שלייי באזור המושלם ביותר בת""א. רחוב בן יהודה 82, דירת 3 שותפים ענקית !!! סלון ענק ומטבח מרווח ממש , בדירה יש חתול סקסי ומיוחד מאוד :-)  לכל שותף יש שירותים משלו , יש 2 מקלחות ומזגן בחדר :-) התאריכים -  -13/4/14 -  10/3/14 - גמישות בתאריכים .","2015-02-14T17:04:02+0000","707688259256219_948019665223076","",""
"","סבלט ! דירת סטודיו נדירה! בין התאריכים 1.3.15 עד 15.4.15  שדרות חכמי ישראל , דירת קרקע מפנקת פלוס ,תמונות בפרטי... שבוע טוב :-)","2015-02-14T15:59:42+0000","707688259256219_947981995226843","",""
"","מסאבלט את דירת 2 חדרים שלי בגבעתיים עד לחודש אחד (מ-28.2). דירה משופצת ונעימה, ברחוב שקט. דקה מדרך השלום, קניון גבעתיים ותאטרון גבעתים. הכל נמצא, רק להביא בגדים. מזגן, ריהוט קומפלט (ארון בגדים, מיטה, ספות, שולחן סלון,טלויזיה, ארון ספרים). אינטרנט חופשי. פרטים בפרטי","2015-02-14T15:18:09+0000","707688259256219_947278845297158","",""
"","מחפשת דירת חדר/חדר לחודש מרץ באיזור ת״א-רמת גן-גבעתיים, מחירים סבירים לאורח מקסים מקייפטאון. יש חיה כזאת ?","2015-02-14T15:05:07+0000","707688259256219_947968841894825","",""
"","דירה ברחוב פאירברג (שנקין פינת רוטשילד) להשכרה לתקופות קצרות.  בדירה ריהוט מלא סלון ענק מטבח מאובזר שתי חדרי שינה שתי שירותים מקלחת ומרפסת ענקית בדירה יש כבלים אינטרנט ומזגן מיועדת למשפחות ו/או שותפים בעל הדירה נמצא בחול לפרטים בפרטי מחיר אטרקטיבי!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","2015-02-14T10:37:10+0000","707688259256219_922726251085751","",""
"","מסבלטים את דירת ה-2.5 חדרים שלנו במרכז העיר, דקה מדיזינגוף סנטר. הדירה מתפנה ב-6 למרץ ועד ה-25. הדירה שמורה ונעימה, ברחוב שקט, הכל נמצא, רק להביא בגדים. מזגן, ריהוט קומפלט (ארון בגדים, מיטה, ספות, שולחן סלון,טלויזיה, פלייסטיישן 4). אינטרנט חופשי. פרטים בפרטי https://www.airbnb.com/rooms/3180032","2015-02-13T20:28:19+0000","707688259256219_947558861935823","",""
"","מחפש סבלט בתל אביב לשבועיים הקרובים בתל אביב. לא נורא יקר. למעשנים.","2015-02-13T19:13:16+0000","707688259256219_947523545272688","",""
"","בוא לתרגל שפות  בואו להכיר חברים חדשים מכל העולם ארוע חילופי שפות ותרבויות מתרחש בכל יום ראשון ובכל יום רביעי בתל אביב. לארוע מגיעים חברים מכל העולם: עולים חדשים, תיירים, צברים ואת כולם מאחד הרצון להכיר אנשים חדשים ולתרגל שפות חדשות. מה עושים שם? כל מי שמגיע בוחר איזו שפה הוא רוצה לתרגל ומצטרף לשולחן שבו מתרגלים את השפה. מתי ואיפה? *האירוע המתקיים בימי ראשון יתקיים בבר תל אביבי בשם Temptation אלנבי 35. מתחילים ב19:00 וממשיכים עד השעות הקטנות של הלילה בדרך, כלל לקראת השעה עשר הארוע הופך למסיבה שמחה. *האירוע המתקיים בימי רביעי יתקיים באחד מהמוקדים הבאים: לחם ארז באבן גבירול -או- בבאר ""דיזי פרישזון"" על דיזינגוף (121). האירוע יחל בשעה 20:00 וימשך עד השעה 22:00. לעדכונים לגבי המקום המדוייק לאותו השבוע עקבו אחרי האירוע בעמוד הפייסבוק המצורף. מה צריך להביא? אתם צריכים להביא את עצמכם ומצב רוח טוב, ואם במקרה יש לכם יום לא משהו לא נורא המצב רוח ישתפר ברגע שתכנסו עם כל האנרגיה החיובית שיש בארועים שלנו אין סיכוי שתצאו בלי חיוך. כמה זה עולה? יוקר המחיה גבוה? לא אצלנו הכל תלוי בכם!  * בימי ראשון - ככל שתקדימו ככה יוטב לכם, הכניסה לארוע חינם עד השעה 20:00 ולאחר מכן בתשלום. * בימי רביעי - ,תרומה מומלץ לחייל בודד: 5 ש""ח. אבל לא רק זה, למי שמגיע לחילופי שפות מחכות הפתעות והנחות משמעותיות, מחירים שכבר מזמן לא פגשתם בתל אביב. אם אתם בעיניין אנחנו מחכים לכם בכל יום ראשון ב 19:00 ובכל יום רביעי בשעה 20:00, ובלי תרוצים תנסו פעם אחת ולא תוכלו להפסיק לדבר פרטים לגבי האירוע ניתן למצוא בעמוד. חפשו את ה EVENT של יום ראשון ושל יום רביעי (נפרדים) https://www.facebook.com/YeahCulturalIsrael","2015-02-13T15:37:48+0000","707688259256219_947439741947735","",""
"","מסבלט דירת 3 וחצי חדרים עם מרפסת. נווה צדק 13.2 ועד 20.2! פרטים בפרטי.","2015-02-13T11:56:50+0000","707688259256219_947351005289942","",""
"","סבלט במרכז תל אביב ( ארלוזרוב - בן יהודה )  החל מתחילת מרץ 02.03.15 ועד אפריל - מאי ( גמיש ) .   בדירת 2 חדרים מדהימה , משופצת ומרןהטת קומפלט כולל : טלוויזיה +מחשב +  יס + אינטרנט + מקרר + תנור + סלון + שולחן + מכונת כביסה.  המחיר הינו 4,000 שח לחודש לא כולל חשמל ארנונה ומים ( היתר כלול במחיר ) .","2015-02-13T11:35:01+0000","707688259256219_947344955290547","",""
"","מחפשת דירה ברמת גן/גבעתיים/תל אביב של 3-4 חדרים (חייב 3 מיטות) לשלושה אורחים שמגיעים אלי בין התאריכים  20/2 - 27/2 הם מעבירים סדנאות מבוקר עד ערב כך שרק ישנים בדירה אפשר לדבר איתי בפרטי","2015-02-13T10:09:58+0000","707688259256219_947321511959558","",""
