"data__story","data__message","data__updated_time","data__id","paging__previous","paging__next"
"","מסבלט את החדר!... באיזור הכי יפה ברוטשילד (פינת מאז""ה), בבנין הכי שקט בעיר, מרחק הליכה מהכל..  עומד חדר גדול, מואר, ומרוהט שרק מחכה לדייר לתקופה של חודשיים, עם סיכוי להארכה (תלוי בקבלן- הבנין לפני שיפוץ מסיבי) מיטה זוגית, ארון קיר ענק, טלויזיה, חיבור לyes, מזגן, אינטרנט אלחוטי, שני כיווני אויר, סלון גדול ומטבח מאובזר. 2900 כולל הכל. לאוהבי חיות בלבד, בדירה גרים כלב וחתולה..  052-5360279","2014-02-24T15:48:35+0000","707688259256219_729916720366706","https://graph.facebook.com/v2.4/707688259256219/feed?limit=1000&format=json&__paging_token=enc_AdDfZCWJzbHcgvCnpv4soCXfGbXgSPNxCT6RZAegD6ZAWTKzSvBCsIu7IKp5F0qClxka9IAcNBk1YBnovsWKN80tO4YFZARa5FrBg5qXBqDtvrpgPwZDZD&since=1393256915&access_token=CAACEdEose0cBAHFTnXdZAvd7RtEomhXVVYGrkIJuHms70bEovtxrO0bBk2PWP0PHhERoiKVG2S7ZCYayGIt6ULeJZCFMhHT4m1xTqCC5XDd1d2z2alIUxw6A5ZBf8Ss0FEx6llS3TAtyVpk4f91043aohdeXNRqxf9o8t5y75ZBHkEDXYYdSXH77Lp9JskakRXZAnhatUX0AZDZD&__previous=1","https://graph.facebook.com/v2.4/707688259256219/feed?limit=1000&format=json&__paging_token=enc_AdDyjdPljZA8UUhqeer4uOYz9zZBS0ltgyzutg9DJitTuezgtPbLWDuSeb0y3H73zsBHU6ne6BcPOCArCcVmhYDDwtXBi6QELNemZAzVxWbWYb3fgZDZD&access_token=CAACEdEose0cBAHFTnXdZAvd7RtEomhXVVYGrkIJuHms70bEovtxrO0bBk2PWP0PHhERoiKVG2S7ZCYayGIt6ULeJZCFMhHT4m1xTqCC5XDd1d2z2alIUxw6A5ZBf8Ss0FEx6llS3TAtyVpk4f91043aohdeXNRqxf9o8t5y75ZBHkEDXYYdSXH77Lp9JskakRXZAnhatUX0AZDZD&until=1389612654"
"","סבלט לחודשיים (מתחילת מרץ) בדירה ענקית ומדהימה בדובנוב פינת צייטלין, חדר גדול עם מרפסת עם שמש, סלון גדול, מטבח גדול מוארת ומאווררת. קומה 4 + מעלית. והכי חשוב עם השותפה האהובה העליי Alma Harish 2800 שקלים חדשים 0545869466","2014-02-24T14:34:48+0000","707688259256219_729883773703334","",""
"","ניר הובלות לסטודנטים ולחברי הקבוצה שרות אמין במחירים נוחים 0507779987","2014-02-24T12:44:28+0000","707688259256219_729816207043424","",""
"","subleting my beautiful apt, just outside of the noisy Tel Aviv (15 min by bike), in Yad eliahu, quite street, close to the market and 10 min from the central station, lots of parking, one bedroom, with kitchen, a great shower, and a huge garden that i share with great neighbors. looking for a quite and clean tenant. from febuary 26 till April 10. 1900 shekel month, include bills. Yad Eliahu, Lochami galipoli st.","2014-02-24T00:44:33+0000","707688259256219_729591187065926","",""
"","בפחות מחודש ימים הגענו ל250 חברים. מקווה שקבוצה זו תגדל ותמשיך לעזור למחפשי הדירות לתקופה קצרה:)","2014-02-23T19:34:26+0000","707688259256219_729345623757149","",""
"","שבת שלום לכולם. מסבלט חדר בדירתי בפלורנטין, הדירה גדולה ומרווחת, מאוד מוארת ברחוב אוריאל אקוסטה אחד הרחובות המדהימים בשכונה. המחיר לחדר הוא 2700 לא כולל חשבונות. מעדיף מעל גיל שלושים שותפה או שותף. חשבו שתהיו נקיים ומסודרים. הדירה מרוהטת קומפלט. אני עובד מהבית עוסק בטיפול פרטני, כך שחשוב לי שמי שייכנס לדירה יהיה אדם נעים. אני מטפל גם בחיפה כך שבכל שבוע יש לכם דירה משלכם מוצ""ש עד שלישי . וכל שבת שניה או שלישית נוסע מיום חמישי עד שלישי. לפרטים נוספים אשמח לשוחח  - ניתן לשלוח הודעות בפרטי. הסבלט לחודש מרץ וניתן גם לאפריל הכל תלוי בכימיה :-)","2014-02-23T13:38:32+0000","707688259256219_728324820525896","",""
"","April in Tel-Aviv! If you're looking for a beautiful apartment in the center of Tel-Aviv, check this one out! Click the photo for details  ","2014-02-23T11:32:16+0000","707688259256219_729269077098137","",""
"","Passover in Tel Aviv! come and spend the vacation in the center of TLV 3/27-4/28 Amazing new Apartment for Sublet near Dizengof center in Tel Aviv A large, spacious and beautiful 2 room apartment with balcony, in a new Building with everything you need inside, in the living room the sofa opening into a king size bed! all the details in the link bellow!  מסבלטים את הדירה המהממת שלנו בפסח מה27/3-28/4, דירה חדשה במרכז תל אביב  מול דיזינגוף סנטר, דקה מכל מקום... כל הפרטים בלינק המצורף חברים שתפו ותעבירו הלאה! please share!","2014-02-23T11:12:58+0000","707688259256219_729263217098723","",""
"","מסבלטת את הדירה לחופשת פסח. 4.4- 25.4. תאריכים גמישים. דירה משגעת.","2014-02-23T08:42:36+0000","707688259256219_729194437105601","",""
"","סאבלט לופט ענקי לחופשת פסח. 4.4-25.4  ","2014-02-23T07:05:06+0000","707688259256219_729190050439373","",""
